,CSF,GM,WM,modalities,subject,model,init,time
0,0.788815746213588,0.7763035179128791,0.862268533154609,T1,0,EM,kmeans_EM,8.738407850265503
1,0.9099334764915231,0.8269023809939327,0.8604740724439572,T1+T2,0,EM,kmeans_EM,14.435055017471313
2,0.8571951021292734,0.7285655915158833,0.8309374115763394,T1,0,Kmeans,none,2.1358790397644043
3,0.823760729538119,0.6949970096862124,0.8144958131974491,T1+T2,0,Kmeans,none,2.1358790397644043
4,0.8640533310051947,0.7883424150213478,0.8030547057418296,T1,1,EM,kmeans_EM,6.091409206390381
5,0.8044643997106014,0.7455044193843341,0.8026351973408898,T1+T2,1,EM,kmeans_EM,13.877737522125244
6,0.8620623760353724,0.7368173881329639,0.7736969152141704,T1,1,Kmeans,none,2.1527109146118164
7,0.8699324666212396,0.7285921479868113,0.7625238511044274,T1+T2,1,Kmeans,none,2.1527109146118164
8,0.8292752922695829,0.7863111609870186,0.8517401291210203,T1,2,EM,kmeans_EM,8.670593738555908
9,0.8573374632086666,0.7783661284347694,0.8549243649735258,T1+T2,2,EM,kmeans_EM,16.33774161338806
10,0.8439877140002139,0.7402497883411508,0.852526460720494,T1,2,Kmeans,none,2.1271328926086426
11,0.8192525978754638,0.7107201046669092,0.836420424725746,T1+T2,2,Kmeans,none,2.1271328926086426
12,0.8405966277561608,0.818515898804997,0.8747637846838925,T1,3,EM,kmeans_EM,7.863166093826294
13,0.9033848462316539,0.8403227746180177,0.8739394566818347,T1+T2,3,EM,kmeans_EM,10.731529474258423
14,0.8543335706523776,0.7251109595284487,0.7980697358280113,T1,3,Kmeans,none,2.274531364440918
15,0.8449249341024564,0.7148425276985378,0.7905000861887341,T1+T2,3,Kmeans,none,2.274531364440918
16,0.8246212744580046,0.8548208720865298,0.8952447978238436,T1,4,EM,kmeans_EM,8.056923866271973
17,0.8707782150925703,0.8509173746468317,0.8947293627234257,T1+T2,4,EM,kmeans_EM,12.462130546569824
18,0.8561800630733027,0.8061495963467341,0.8583042116348173,T1,4,Kmeans,none,2.2550196647644043
19,0.8671788166067342,0.8090499207928835,0.8485525156211693,T1+T2,4,Kmeans,none,2.2550196647644043
